sku,option_pn,pn_type
287685-001,278424-B21,spare
287728-001,287728-001,option
288601-B21,288601-B21,option
288874-B21,288874-B21,option
288894-005,367920-B21,spare
289041-001,286713-B22,spare
289042-001,286714-B22,spare
289044-001,286716-B22,spare
289240-001,286775-B22,spare
289241-001,286776-B22,spare
289243-001,286778-B22,spare
290558-001,257913-B21,spare
290563-B21,290563-B21,option
291711-051,317093-B21,assembly
291966-B21,291966-B21,option
291967-B21,291967-B21,option
291969-B21,291969-B21,option
292891-B21,292891-B21,option
292892-B21,292892-B21,option
294934-005,278424-B21,assembly
295570-B21,295570-B21,option
295571-001,295570-B21,assembly
295625-001,295570-B21,spare
295635-B21,295635-B21,option
295636-B21,295636-B21,option
295643-B21,295643-B21,option
300678-B21,300678-B21,option
300679-B21,300679-B21,option
300680-B21,300680-B21,option
300682-B21,300682-B21,option
300699-001,287495-B21,spare
300700-001,287496-B21,spare
300701-001,287497-B21,spare
300702-001,300682-B21,spare
300873-B21,300873-B21,option
300955-003,142671-B22,assembly
300955-004,142673-B22,assembly
300955-006,142672-B21,assembly
300955-007,388143-B21,assembly
300955-008,271832-B21,assembly
300955-012,336357-B21,assembly
300955-013,128417-B21,assembly
300955-014,286713-B22,assembly
300955-015,286714-B22,assembly
300955-015-ML100,377537-B21,assembly
300955-016,286716-B22,assembly
300955-016-ML100,371535-B21,assembly
300955-023,332751-B21,assembly
301044-B21,301044-B21,option
301691-001,287494-B21,spare
305317-001,300873-B21,spare
305414-001,291966-B21,spare
305415-001,291967-B21,spare
305416-001,291969-B21,spare
305437-001,292892-B21,spare
305438-001,292891-B21,spare
306433-001,313617-B21,assembly
306433-002,313617-B21,assembly
306504-B21,306504-B21,option
306637-001,286713-B22,assembly
306637-002,286714-B22,assembly
306637-003,286716-B22,assembly
306637-004,271832-B21,assembly
306641-001,286775-B22,assembly
306641-002,286776-B22,assembly
306641-002-ML100,371534-B21,assembly
306641-003,286778-B22,assembly
306641-004,188120-B22,assembly
306641-005,357012-B21,assembly
306645-001,286775-B22,assembly
306645-002,286776-B22,assembly
306645-003,286778-B22,assembly
307103-001,257915-B21,spare
307276-B21,307276-B21,option
307547-001,306504-B21,spare
308552-001,347924-B21,spare
309522-001,273913-B21,spare
309523-001,273911-B21,spare
309618-001,307276-B21,spare
309833-B22,309833-B22,option
309834-B22,309834-B22,option
309834-B23,309834-B23,option
311583-B21,311583-B21,option
311584-B21,311584-B21,option
312285-B21,312285-B21,option
312286-B21,312286-B21,option
313560-013,313879-B21,assembly
313585-001,313879-B21,spare
313586-001,313881-B21,spare
313611-B21,313611-B21,option
313612-B21,313612-B21,option
313614-B21,313614-B21,option
313615-B21,313615-B21,option
313616-B21,313616-B21,option
313617-B21,313617-B21,option
313618-B21,313618-B21,option
313623-001,313611-B21,spare
313706-B21,313706-B21,option
313708-001,313706-B21,assembly
313715-001,313706-B21,spare
313717-001,313706-B21,assembly
313720-001,313706-B21,assembly
313723-001,349526-B21,assembly
313726-001,313706-B21,assembly
313879-B21,313879-B21,option
313881-B21,313881-B21,option
314669-001,257916-B21,spare
314763-B21,314763-B21,option
316898-B21,316898-B21,option
317093-B21,317093-B21,option
317450-B21,317450-B21,option
317459-001,317450-B21,spare
317745-001,313614-B21,spare
317748-001,313617-B21,spare
317749-001,313616-B21,spare
317756-001,313615-B21,spare
317823-B21,317823-B21,option
319952-001,287519-B21,spare
319953-001,287520-B21,spare
320141-005,278424-B21,assembly
320143-001,366486-B21,assembly
320143-005,366486-B21,assembly
320945-041,236854-B21,assembly
321499-001,286776-B22,assembly
321499-002,286778-B22,assembly
321499-003,347708-B22,assembly
321499-005,286778-B22,assembly
321499-006,347708-B22,assembly
321835-B21,321835-B21,option
321836-001,321835-B21,spare
321851-001,236854-B21,spare
321852-001,317093-B21,spare
322472-B21,322472-B21,option
322560-001,314763-B21,spare
323139-B21,323139-B21,option
323247-B21,323247-B21,option
324704-001,316898-B21,spare
325148-001,322472-B21,spare
325252-B21,325252-B21,option
325253-B21,325253-B21,option
325254-B21,325254-B21,option
325447-001,355671-B21,assembly
325447-002,355671-B21,assembly
325609-001,355671-B21,spare
326315-041,354557-B21,assembly
326315-441,354557-B21,assembly
326316-041,354560-B21,assembly
326316-441,354560-B21,assembly
326317-051,354563-B21,assembly
326317-451,354563-B21,assembly
326510-001,366486-B21,spare
327839-001,325252-B21,spare
327840-001,325253-B21,spare
327841-001,325254-B21,spare
328580-B21,328580-B21,option
328581-B21,328581-B21,option
328582-B21,328582-B21,option
328583-B21,328583-B21,option
328717-B21,328717-B21,option
328718-B21,328718-B21,option
328806-B21,328806-B21,option
328807-B21,328807-B21,option
328808-B21,328808-B21,option
328809-B21,328809-B21,option
328812-B21,328812-B21,option
328813-B21,328813-B21,option
328814-B21,328814-B21,option
328939-B22,328939-B22,option
328943-B21,328943-B21,option
328976-B21,328976-B21,option
328977-B21,328977-B21,option
328978-B21,328978-B21,option
331002-B21,331002-B21,option
331003-B21,331003-B21,option
331004-B21,331004-B21,option
331346-B21,331346-B21,option
331561-041,358347-B21,assembly
331562-051,358348-B21,assembly
331563-051,358349-B21,assembly
331563-851,371049-B21,assembly
331564-061,395409-B21,assembly
331903-B21,331903-B21,option
332649-002,349237-B21,assembly
332649-003,383410-B21,assembly
332650-002,411275-B21,assembly
332650-003,411275-B21,assembly
332751-B21,332751-B21,option
332934-001,332751-B21,spare
333055-001,323247-B21,spare
333713-B21,333713-B21,option
333714-B21,333714-B21,option
334036-B21,334036-B21,option
334037-B21,334037-B21,option
336357-B21,336357-B21,option
336366-001,336357-B21,assembly
336381-001,336357-B21,spare
336856-001,333713-B21,spare
337056-B21,337056-B21,option
337972-B21,337972-B21,option
338456-B21,338456-B21,option
338456-B22,338456-B22,option
338456-B23,338456-B23,option
338456-B24,338456-B24,option
338456-B25,338456-B25,option
338478-001,338456-B21,spare
338479-001,338456-B22,spare
338480-001,338456-B23,spare
338481-001,338456-B24,spare
338482-001,338456-B25,spare
339072-B21,339072-B21,option
339323-B21,339323-B21,option
340825-001,295643-B21,assembly
340855-001,295643-B21,spare
341764-001,337056-B21,spare
343055-B21,343055-B21,option
343056-B21,343056-B21,option
343057-B21,343057-B21,option
344287-B21,344287-B21,option
344685-001,355520-B21,spare
344685-003,355520-B21,assembly
344687-001,355522-B21,spare
345112-051,384163-B21,assembly
345112-851,384163-B21,assembly
345113-051,343056-B21,assembly
345113-851,343056-B21,assembly
345114-051,375004-B21,assembly
345114-851,375004-B21,assembly
345114-861,343057-B21,assembly
345115-061,348106-B21,assembly
345115-081,348106-B21,assembly
345115-861,348106-B21,assembly
345321-B21,345321-B21,option
345322-B21,345322-B21,option
345323-B21,345323-B21,option
345627-B21,345627-B21,option
346914-B21,346914-B21,option
346988-B21,346988-B21,option
346989-B21,346989-B21,option
346990-B21,346990-B21,option
347406-001,333714-B21,spare
347708-B22,347708-B22,option
347779-001,347708-B22,spare
347786-B21,347786-B21,option
347924-B21,347924-B21,option
347926-B21,347926-B21,option
347927-B21,347927-B21,option
348106-B21,348106-B21,option
348107-B21,348107-B21,option
348109-B21,348109-B21,option
348110-B21,348110-B21,option
348111-B21,348111-B21,option
348114-001,348114-001,option
348114-B21,348114-B21,option
348757-B21,348757-B21,option
348759-001,348757-B21,spare
349043-B21,349043-B21,option
349237-B21,349237-B21,option
349238-B21,349238-B21,option
349239-B21,349239-B21,option
349526-B21,349526-B21,option
349534-001,349526-B21,spare
349537-001,328939-B22,assembly
349541-001,328943-B21,assembly
349543-001,336357-B21,assembly
349931-002,311583-B21,assembly
349931-003,374492-B21,assembly
350964-B22,350964-B22,option
351050-B21,351050-B21,option
351051-B21,351051-B21,option
351052-B21,351052-B21,option
351108-B21,351108-B21,option
